ID,MSSUBCLASS,MSZONING,LOTFRONTAGE,LOTAREA,STREET,ALLEY,LOTSHAPE,LANDCONTOUR,UTILITIES,LOTCONFIG,LANDSLOPE,NEIGHBORHOOD,CONDITION1,CONDITION2,BLDGTYPE,HOUSESTYLE,OVERALLQUAL,OVERALLCOND,YEARBUILT,YEARREMODADD,ROOFSTYLE,ROOFMATL,EXTERIOR1ST,EXTERIOR2ND,MASVNRTYPE,MASVNRAREA,EXTERQUAL,EXTERCOND,FOUNDATION,BSMTQUAL,BSMTCOND,BSMTEXPOSURE,BSMTFINTYPE1,BSMTFINSF1,BSMTFINTYPE2,BSMTFINSF2,BSMTUNFSF,TOTALBSMTSF,HEATING,HEATINGQC,CENTRALAIR,ELECTRICAL,1STFLRSF,2NDFLRSF,LOWQUALFINSF,GRLIVAREA,BSMTFULLBATH,BSMTHALFBATH,FULLBATH,HALFBATH,BEDROOMABVGR,KITCHENABVGR,KITCHENQUAL,TOTRMSABVGRD,FUNCTIONAL,FIREPLACES,FIREPLACEQU,GARAGETYPE,GARAGEFINISH,GARAGECARS,GARAGEAREA,GARAGEQUAL,GARAGECOND,PAVEDDRIVE,WOODDECKSF,OPENPORCHSF,ENCLOSEDPORCH,3SSNPORCH,SCREENPORCH,FENCE,MISCFEATURE,MISCVAL,MOSOLD,YRSOLD,SALETYPE,SALECONDITION,SALEPRICE,HASGARAGE,HASPOOL
11,20,RL,70.0,11200.0,PAVE,NA,REG,LVL,ALLPUB,INSIDE,GTL,SAWYER,NORM,NORM,1FAM,1STORY,5,5,1965,1965,HIP,COMPSHG,HDBOARD,HDBOARD,None,0.0,TA,TA,CBLOCK,TA,TA,TA,REC,906.0,TA,0.0,134.0,1040.0,GASA,EX,Y,SBRKR,1040.0,0.0,0.0,1040.0,1,0,1,0,3,1,TA,5,TYP,0,NA,DETCHD,DETCHD,1,384.0,DETCHD,DETCHD,Y,0.0,0.0,0.0,0.0,0.0,NA,NA,0,2,2008,WD,NORMAL,129500,True,False
12,60,RL,85.0,11924.0,PAVE,NA,IR1,LVL,ALLPUB,INSIDE,GTL,NRIDGHT,NORM,NORM,1FAM,2STORY,9,5,2005,2006,HIP,COMPSHG,WDSHING,WD SHNG,STONE,286.0,EX,TA,PCONC,EX,TA,EX,GLQ,998.0,TA,0.0,177.0,1175.0,GASA,EX,Y,SBRKR,1182.0,1142.0,0.0,2324.0,1,0,3,0,4,1,EX,11,TYP,2,GD,BUILTIN,BUILTIN,3,736.0,BUILTIN,BUILTIN,Y,147.0,21.0,0.0,0.0,0.0,NA,NA,0,7,2006,NEW,PARTIAL,345000,True,False
13,20,RL,0.0,12968.0,PAVE,NA,IR2,LVL,ALLPUB,INSIDE,GTL,SAWYER,NORM,NORM,1FAM,1STORY,5,6,1962,1962,HIP,COMPSHG,HDBOARD,PLYWOOD,None,0.0,TA,TA,CBLOCK,TA,TA,TA,ALQ,737.0,TA,0.0,175.0,912.0,GASA,TA,Y,SBRKR,912.0,0.0,0.0,912.0,1,0,1,0,2,1,TA,4,TYP,0,NA,DETCHD,DETCHD,1,352.0,DETCHD,DETCHD,Y,140.0,0.0,0.0,0.0,176.0,NA,NA,0,9,2008,WD,NORMAL,144000,True,False
14,20,RL,91.0,10652.0,PAVE,NA,IR1,LVL,ALLPUB,INSIDE,GTL,COLLGCR,NORM,NORM,1FAM,1STORY,7,5,2006,2007,GABLE,COMPSHG,VINYLSD,VINYLSD,STONE,306.0,GD,TA,PCONC,GD,TA,GD,UNF,0.0,TA,0.0,1494.0,1494.0,GASA,EX,Y,SBRKR,1494.0,0.0,0.0,1494.0,0,0,2,0,3,1,GD,7,TYP,1,GD,ATTCHD,ATTCHD,3,840.0,ATTCHD,ATTCHD,Y,160.0,33.0,0.0,0.0,0.0,NA,NA,0,8,2007,NEW,PARTIAL,279500,True,False
15,20,RL,0.0,10920.0,PAVE,NA,IR1,LVL,ALLPUB,CORNER,GTL,NAMES,NORM,NORM,1FAM,1STORY,6,5,1960,1960,HIP,COMPSHG,METALSD,METALSD,BRKFACE,212.0,TA,TA,CBLOCK,TA,TA,TA,BLQ,733.0,TA,0.0,520.0,1253.0,GASA,TA,Y,SBRKR,1253.0,0.0,0.0,1253.0,1,0,1,1,2,1,TA,5,TYP,1,FA,ATTCHD,ATTCHD,1,352.0,ATTCHD,ATTCHD,Y,0.0,213.0,176.0,0.0,0.0,NA,NA,0,5,2008,WD,NORMAL,157000,True,False
16,45,RM,51.0,6120.0,PAVE,NA,REG,LVL,ALLPUB,CORNER,GTL,BRKSIDE,NORM,NORM,1FAM,1.5UNF,7,8,1929,2001,GABLE,COMPSHG,WD SDNG,WD SDNG,None,0.0,TA,TA,BRKTIL,TA,TA,TA,UNF,0.0,TA,0.0,832.0,832.0,GASA,EX,Y,FUSEA,854.0,0.0,0.0,854.0,0,0,1,0,2,1,TA,5,TYP,0,NA,DETCHD,DETCHD,2,576.0,DETCHD,DETCHD,Y,48.0,112.0,0.0,0.0,0.0,NA,NA,0,7,2007,WD,NORMAL,132000,True,False
17,20,RL,0.0,11241.0,PAVE,SHED,IR1,LVL,ALLPUB,CULDSAC,GTL,NAMES,NORM,NORM,1FAM,1STORY,6,7,1970,1970,GABLE,COMPSHG,WD SDNG,WD SDNG,BRKFACE,180.0,TA,TA,CBLOCK,TA,TA,TA,ALQ,578.0,TA,0.0,426.0,1004.0,GASA,EX,Y,SBRKR,1004.0,0.0,0.0,1004.0,1,0,1,0,2,1,TA,5,TYP,1,TA,ATTCHD,ATTCHD,2,480.0,ATTCHD,ATTCHD,Y,0.0,0.0,0.0,0.0,0.0,SHED,SHED,700,3,2010,WD,NORMAL,149000,True,False
18,90,RL,72.0,10791.0,PAVE,SHED,REG,LVL,ALLPUB,INSIDE,GTL,SAWYER,NORM,NORM,DUPLEX,1STORY,4,5,1967,1967,GABLE,COMPSHG,METALSD,METALSD,None,0.0,TA,TA,SLAB,NA,NA,NA,NA,0.0,NA,0.0,0.0,0.0,GASA,TA,Y,SBRKR,1296.0,0.0,0.0,1296.0,0,0,2,0,2,2,TA,6,TYP,0,NA,CARPORT,CARPORT,2,516.0,CARPORT,CARPORT,Y,0.0,0.0,0.0,0.0,0.0,SHED,SHED,500,10,2006,WD,NORMAL,90000,True,False
19,20,RL,66.0,13695.0,PAVE,NA,REG,LVL,ALLPUB,INSIDE,GTL,SAWYERW,RRAE,NORM,1FAM,1STORY,5,5,2004,2004,GABLE,COMPSHG,VINYLSD,VINYLSD,None,0.0,TA,TA,PCONC,TA,TA,TA,GLQ,646.0,TA,0.0,468.0,1114.0,GASA,EX,Y,SBRKR,1114.0,0.0,0.0,1114.0,1,0,1,1,3,1,GD,6,TYP,0,NA,DETCHD,DETCHD,2,576.0,DETCHD,DETCHD,Y,0.0,102.0,0.0,0.0,0.0,NA,NA,0,6,2008,WD,NORMAL,159000,True,False
20,20,RL,70.0,7560.0,PAVE,NA,REG,LVL,ALLPUB,INSIDE,GTL,NAMES,NORM,NORM,1FAM,1STORY,5,6,1958,1965,HIP,COMPSHG,BRKFACE,PLYWOOD,None,0.0,TA,TA,CBLOCK,TA,TA,TA,LWQ,504.0,TA,0.0,525.0,1029.0,GASA,TA,Y,SBRKR,1339.0,0.0,0.0,1339.0,0,0,1,0,3,1,TA,6,MIN1,0,NA,ATTCHD,ATTCHD,1,294.0,ATTCHD,ATTCHD,Y,0.0,0.0,0.0,0.0,0.0,NA,NA,0,5,2009,COD,ABNORML,139000,True,False
21,60,RL,101.0,14215.0,PAVE,NA,IR1,LVL,ALLPUB,CORNER,GTL,NRIDGHT,NORM,NORM,1FAM,2STORY,8,5,2005,2006,GABLE,COMPSHG,VINYLSD,VINYLSD,BRKFACE,380.0,GD,TA,PCONC,EX,TA,EX,UNF,0.0,TA,0.0,1158.0,1158.0,GASA,EX,Y,SBRKR,1158.0,1218.0,0.0,2376.0,0,0,3,1,4,1,GD,9,TYP,1,GD,BUILTIN,BUILTIN,3,853.0,BUILTIN,BUILTIN,Y,240.0,154.0,0.0,0.0,0.0,NA,NA,0,11,2006,NEW,PARTIAL,325300,True,False
22,45,RM,57.0,7449.0,PAVE,NA,REG,BNK,ALLPUB,INSIDE,GTL,IDOTRR,NORM,NORM,1FAM,1.5UNF,7,7,1930,1950,GABLE,COMPSHG,WD SDNG,WD SDNG,None,0.0,TA,TA,PCONC,TA,TA,TA,UNF,0.0,TA,0.0,637.0,637.0,GASA,EX,Y,FUSEF,1108.0,0.0,0.0,1108.0,0,0,1,0,3,1,GD,6,TYP,1,GD,ATTCHD,ATTCHD,1,280.0,ATTCHD,ATTCHD,N,0.0,0.0,205.0,0.0,0.0,NA,NA,0,6,2007,WD,NORMAL,139400,True,False
23,20,RL,75.0,9742.0,PAVE,NA,REG,LVL,ALLPUB,INSIDE,GTL,COLLGCR,NORM,NORM,1FAM,1STORY,8,5,2002,2002,HIP,COMPSHG,VINYLSD,VINYLSD,BRKFACE,281.0,GD,TA,PCONC,GD,TA,GD,UNF,0.0,TA,0.0,1777.0,1777.0,GASA,EX,Y,SBRKR,1795.0,0.0,0.0,1795.0,0,0,2,0,3,1,GD,7,TYP,1,GD,ATTCHD,ATTCHD,2,534.0,ATTCHD,ATTCHD,Y,171.0,159.0,0.0,0.0,0.0,NA,NA,0,9,2008,WD,NORMAL,230000,True,False
24,120,RM,44.0,4224.0,PAVE,NA,REG,LVL,ALLPUB,INSIDE,GTL,MEADOWV,NORM,NORM,TWNHSE,1STORY,5,7,1976,1976,GABLE,COMPSHG,CEMNTBD,CMENTBD,None,0.0,TA,TA,PCONC,GD,TA,GD,GLQ,840.0,TA,0.0,200.0,1040.0,GASA,TA,Y,SBRKR,1060.0,0.0,0.0,1060.0,1,0,1,0,3,1,TA,6,TYP,1,TA,ATTCHD,ATTCHD,2,572.0,ATTCHD,ATTCHD,Y,100.0,110.0,0.0,0.0,0.0,NA,NA,0,6,2007,WD,NORMAL,129900,True,False
25,20,RL,0.0,8246.0,PAVE,NA,IR1,LVL,ALLPUB,INSIDE,GTL,SAWYER,NORM,NORM,1FAM,1STORY,5,8,1968,2001,GABLE,COMPSHG,PLYWOOD,PLYWOOD,None,0.0,TA,GD,CBLOCK,TA,TA,TA,REC,188.0,TA,668.0,204.0,1060.0,GASA,EX,Y,SBRKR,1060.0,0.0,0.0,1060.0,1,0,1,0,3,1,GD,6,TYP,1,TA,ATTCHD,ATTCHD,1,270.0,ATTCHD,ATTCHD,Y,406.0,90.0,0.0,0.0,0.0,NA,NA,0,5,2010,WD,NORMAL,154000,True,False
26,20,RL,110.0,14230.0,PAVE,NA,REG,LVL,ALLPUB,CORNER,GTL,NRIDGHT,NORM,NORM,1FAM,1STORY,8,5,2007,2007,GABLE,COMPSHG,VINYLSD,VINYLSD,STONE,640.0,GD,TA,PCONC,GD,TA,GD,UNF,0.0,TA,0.0,1566.0,1566.0,GASA,EX,Y,SBRKR,1600.0,0.0,0.0,1600.0,0,0,2,0,3,1,GD,7,TYP,1,GD,ATTCHD,ATTCHD,3,890.0,ATTCHD,ATTCHD,Y,0.0,56.0,0.0,0.0,0.0,NA,NA,0,7,2009,WD,NORMAL,256300,True,False
27,20,RL,60.0,7200.0,PAVE,NA,REG,LVL,ALLPUB,CORNER,GTL,NAMES,NORM,NORM,1FAM,1STORY,5,7,1951,2000,GABLE,COMPSHG,WD SDNG,WD SDNG,None,0.0,TA,TA,CBLOCK,TA,TA,TA,BLQ,234.0,TA,486.0,180.0,900.0,GASA,TA,Y,SBRKR,900.0,0.0,0.0,900.0,0,1,1,0,3,1,GD,5,TYP,0,NA,DETCHD,DETCHD,2,576.0,DETCHD,DETCHD,Y,222.0,32.0,0.0,0.0,0.0,NA,NA,0,5,2010,WD,NORMAL,134800,True,False
28,20,RL,98.0,11478.0,PAVE,NA,REG,LVL,ALLPUB,INSIDE,GTL,NRIDGHT,NORM,NORM,1FAM,1STORY,8,5,2007,2008,GABLE,COMPSHG,VINYLSD,VINYLSD,STONE,200.0,GD,TA,PCONC,EX,TA,EX,GLQ,1218.0,TA,0.0,486.0,1704.0,GASA,EX,Y,SBRKR,1704.0,0.0,0.0,1704.0,1,0,2,0,3,1,GD,7,TYP,1,GD,ATTCHD,ATTCHD,3,772.0,ATTCHD,ATTCHD,Y,0.0,50.0,0.0,0.0,0.0,NA,NA,0,5,2010,WD,NORMAL,306000,True,False
29,20,RL,47.0,16321.0,PAVE,NA,IR1,LVL,ALLPUB,CULDSAC,GTL,NAMES,NORM,NORM,1FAM,1STORY,5,6,1957,1997,GABLE,COMPSHG,METALSD,METALSD,None,0.0,TA,TA,CBLOCK,TA,TA,TA,BLQ,1277.0,TA,0.0,207.0,1484.0,GASA,TA,Y,SBRKR,1600.0,0.0,0.0,1600.0,1,0,1,0,2,1,TA,6,TYP,2,GD,ATTCHD,ATTCHD,1,319.0,ATTCHD,ATTCHD,Y,288.0,258.0,0.0,0.0,0.0,NA,NA,0,12,2006,WD,NORMAL,207500,True,False
30,30,RM,60.0,6324.0,PAVE,NA,IR1,LVL,ALLPUB,INSIDE,GTL,BRKSIDE,FEEDR,RRNN,1FAM,1STORY,4,6,1927,1950,GABLE,COMPSHG,METALSD,METALSD,None,0.0,TA,TA,BRKTIL,TA,TA,TA,UNF,0.0,TA,0.0,520.0,520.0,GASA,FA,N,SBRKR,520.0,0.0,0.0,520.0,0,0,1,0,1,1,FA,4,TYP,0,NA,DETCHD,DETCHD,1,240.0,DETCHD,DETCHD,Y,49.0,0.0,87.0,0.0,0.0,NA,NA,0,5,2008,WD,NORMAL,68500,True,False
31,70,C (ALL),50.0,8500.0,PAVE,NA,REG,LVL,ALLPUB,INSIDE,GTL,IDOTRR,FEEDR,NORM,1FAM,2STORY,4,4,1920,1950,GAMBREL,COMPSHG,BRKFACE,BRKFACE,None,0.0,TA,FA,BRKTIL,TA,TA,TA,UNF,0.0,TA,0.0,649.0,649.0,GASA,TA,N,SBRKR,649.0,668.0,0.0,1317.0,0,0,1,0,3,1,TA,6,TYP,0,NA,DETCHD,DETCHD,1,250.0,DETCHD,DETCHD,N,0.0,54.0,172.0,0.0,0.0,NA,NA,0,7,2008,WD,NORMAL,40000,True,False
32,20,RL,0.0,8544.0,PAVE,NA,IR1,LVL,ALLPUB,CULDSAC,GTL,SAWYER,NORM,NORM,1FAM,1STORY,5,6,1966,2006,GABLE,COMPSHG,HDBOARD,HDBOARD,None,0.0,TA,TA,CBLOCK,TA,TA,TA,UNF,0.0,TA,0.0,1228.0,1228.0,GASA,GD,Y,SBRKR,1228.0,0.0,0.0,1228.0,0,0,1,1,3,1,GD,6,TYP,0,NA,ATTCHD,ATTCHD,1,271.0,ATTCHD,ATTCHD,Y,0.0,65.0,0.0,0.0,0.0,NA,NA,0,6,2008,WD,NORMAL,149350,True,False
33,20,RL,85.0,11049.0,PAVE,NA,REG,LVL,ALLPUB,CORNER,GTL,COLLGCR,NORM,NORM,1FAM,1STORY,8,5,2007,2007,GABLE,COMPSHG,VINYLSD,VINYLSD,None,0.0,GD,TA,PCONC,EX,TA,EX,UNF,0.0,TA,0.0,1234.0,1234.0,GASA,EX,Y,SBRKR,1234.0,0.0,0.0,1234.0,0,0,2,0,3,1,GD,7,TYP,0,NA,ATTCHD,ATTCHD,2,484.0,ATTCHD,ATTCHD,Y,0.0,30.0,0.0,0.0,0.0,NA,NA,0,1,2008,WD,NORMAL,179900,True,False
34,20,RL,70.0,10552.0,PAVE,NA,IR1,LVL,ALLPUB,INSIDE,GTL,NAMES,NORM,NORM,1FAM,1STORY,5,5,1959,1959,HIP,COMPSHG,BRKFACE,BRKFACE,None,0.0,TA,TA,CBLOCK,TA,TA,TA,REC,1018.0,TA,0.0,380.0,1398.0,GASA,GD,Y,SBRKR,1700.0,0.0,0.0,1700.0,0,1,1,1,4,1,GD,6,TYP,1,GD,ATTCHD,ATTCHD,2,447.0,ATTCHD,ATTCHD,Y,0.0,38.0,0.0,0.0,0.0,NA,NA,0,4,2010,WD,NORMAL,165500,True,False
35,120,RL,60.0,7313.0,PAVE,NA,REG,LVL,ALLPUB,INSIDE,GTL,NRIDGHT,NORM,NORM,TWNHSE,1STORY,9,5,2005,2005,HIP,COMPSHG,METALSD,METALSD,BRKFACE,246.0,EX,TA,PCONC,EX,TA,EX,GLQ,1153.0,TA,0.0,408.0,1561.0,GASA,EX,Y,SBRKR,1561.0,0.0,0.0,1561.0,1,0,2,0,2,1,EX,6,TYP,1,GD,ATTCHD,ATTCHD,2,556.0,ATTCHD,ATTCHD,Y,203.0,47.0,0.0,0.0,0.0,NA,NA,0,8,2007,WD,NORMAL,277500,True,False
36,60,RL,108.0,13418.0,PAVE,NA,REG,LVL,ALLPUB,INSIDE,GTL,NRIDGHT,NORM,NORM,1FAM,2STORY,8,5,2004,2005,GABLE,COMPSHG,VINYLSD,VINYLSD,STONE,132.0,GD,TA,PCONC,EX,TA,EX,UNF,0.0,TA,0.0,1117.0,1117.0,GASA,EX,Y,SBRKR,1132.0,1320.0,0.0,2452.0,0,0,3,1,4,1,GD,9,TYP,1,GD,BUILTIN,BUILTIN,3,691.0,BUILTIN,BUILTIN,Y,113.0,32.0,0.0,0.0,0.0,NA,NA,0,9,2006,WD,NORMAL,309000,True,False
37,20,RL,112.0,10859.0,PAVE,NA,REG,LVL,ALLPUB,CORNER,GTL,COLLGCR,NORM,NORM,1FAM,1STORY,5,5,1994,1995,GABLE,COMPSHG,VINYLSD,VINYLSD,None,0.0,TA,TA,PCONC,GD,TA,GD,UNF,0.0,TA,0.0,1097.0,1097.0,GASA,EX,Y,SBRKR,1097.0,0.0,0.0,1097.0,0,0,1,1,3,1,TA,6,TYP,0,NA,ATTCHD,ATTCHD,2,672.0,ATTCHD,ATTCHD,Y,392.0,64.0,0.0,0.0,0.0,NA,NA,0,6,2009,WD,NORMAL,145000,True,False
38,20,RL,74.0,8532.0,PAVE,NA,REG,LVL,ALLPUB,INSIDE,GTL,NAMES,NORM,NORM,1FAM,1STORY,5,6,1954,1990,HIP,COMPSHG,WD SDNG,WD SDNG,BRKFACE,650.0,TA,TA,CBLOCK,TA,TA,TA,REC,1213.0,TA,0.0,84.0,1297.0,GASA,GD,Y,SBRKR,1297.0,0.0,0.0,1297.0,0,1,1,0,3,1,TA,5,TYP,1,TA,ATTCHD,ATTCHD,2,498.0,ATTCHD,ATTCHD,Y,0.0,0.0,0.0,0.0,0.0,NA,NA,0,10,2009,WD,NORMAL,153000,True,False
39,20,RL,68.0,7922.0,PAVE,NA,REG,LVL,ALLPUB,INSIDE,GTL,NAMES,NORM,NORM,1FAM,1STORY,5,7,1953,2007,GABLE,COMPSHG,VINYLSD,VINYLSD,None,0.0,TA,GD,CBLOCK,TA,TA,TA,GLQ,731.0,TA,0.0,326.0,1057.0,GASA,TA,Y,SBRKR,1057.0,0.0,0.0,1057.0,1,0,1,0,3,1,GD,5,TYP,0,NA,DETCHD,DETCHD,1,246.0,DETCHD,DETCHD,Y,0.0,52.0,0.0,0.0,0.0,NA,NA,0,1,2010,WD,ABNORML,109000,True,False
40,90,RL,65.0,6040.0,PAVE,NA,REG,LVL,ALLPUB,INSIDE,GTL,EDWARDS,NORM,NORM,DUPLEX,1STORY,4,5,1955,1955,GABLE,COMPSHG,ASBSHNG,PLYWOOD,None,0.0,TA,TA,PCONC,NA,NA,NA,NA,0.0,NA,0.0,0.0,0.0,GASA,TA,N,FUSEP,1152.0,0.0,0.0,1152.0,0,0,2,0,2,2,FA,6,TYP,0,NA,NA,NA,0,0.0,NA,NA,N,0.0,0.0,0.0,0.0,0.0,NA,NA,0,6,2008,WD,ADJLAND,82000,False,False
41,20,RL,84.0,8658.0,PAVE,NA,REG,LVL,ALLPUB,INSIDE,GTL,NAMES,NORM,NORM,1FAM,1STORY,6,5,1965,1965,GABLE,COMPSHG,WD SDNG,WD SDNG,BRKFACE,101.0,TA,TA,CBLOCK,TA,TA,TA,REC,643.0,TA,0.0,445.0,1088.0,GASA,EX,Y,SBRKR,1324.0,0.0,0.0,1324.0,0,0,2,0,3,1,TA,6,TYP,1,TA,ATTCHD,ATTCHD,2,440.0,ATTCHD,ATTCHD,Y,0.0,138.0,0.0,0.0,0.0,NA,NA,0,12,2006,WD,ABNORML,160000,True,False
